,0
0,1011748.821898154
1,1011604.2198392672
2,1012049.9132688248
3,1011821.6879816152
4,1011658.4516569383
5,1011165.773155805
6,1011309.1375980375
7,1012120.8015895099
8,1011794.7942382542
9,1011184.8566920296
10,1011796.8048602056
11,1011257.8372425998
12,1011808.0816690254
13,1011997.1255793599
14,1011990.4491222504
15,1011620.015986447
16,1011900.6541027367
17,1011305.0417429399
18,1011573.6283000553
19,1011881.8904320325
20,1011831.0713437046
21,1012489.0911314057
22,1011317.7429358882
23,1010818.6188266913
24,1011109.7176129979
25,1010966.7904240235
26,1011418.7752550666
27,1011456.9480792163
28,1011621.4906068104
29,1012023.0545154503
30,1011508.7729909546
