,0
0,1010588.3340773572
1,1003531.8042197402
2,1011590.0553870975
3,1019320.1453974239
4,1016188.6316701359
5,1026509.9869356249
6,1002781.4950340686
7,1000327.5223141568
8,1018041.4136072274
9,1008957.3599128211
10,1017068.5667397571
11,1017564.5965883788
12,1014093.542405297
13,999654.6602140218
14,1011067.2839438056
15,1008786.3606405531
16,1023819.9160444436
17,1005154.2567357428
18,982704.9793292983
19,1016276.8981172474
20,1006487.6976377256
21,1012985.2808079863
22,1009212.877389975
