,0
0,1014986.2947103456
1,1014726.5004590976
2,1016599.8570515908
3,1017017.072472071
4,1014552.0790364384
5,1015929.8071176312
6,1015117.8538057451
7,1014613.9099106645
8,1014928.2490708756
9,1016124.345464352
10,1014929.6580268341
11,1015250.9491572046
12,1016685.1812687767
13,1015341.5663568592
14,1015382.6639456654
15,1015399.4198846321
16,1016258.0979969699
17,1015868.2716398888
18,1016729.2608767448
19,1015663.829867829
20,1015968.1176185572
21,1015268.758518877
22,1015116.3885363508
23,1015838.1019145804
24,1015630.277466904
